start_code;end_code;description;start_code_letter;start_code_no;end_code_letter;end_code_no
O80;O82;Entbindung;O;80;O;82
O85;O92;Komplikationen, die vorwiegend im Wochenbett auftreten;O;85;O;92
O94;O99;Sonstige Krankheitszustaende waehrend der Gestationsperiode, die anderenorts nicht klassifiziert sind;O;94;O;99
P00;P04;Schaedigung des Fetus und Neugeborenen durch muetterliche Faktoren und durch Komplikationen bei Schwangerschaft, Wehentaetigkeit und Entbindung;P;0;P;4
P05;P08;Stoerungen im Zusammenhang mit der Schwangerschaftsdauer und dem fetalen Wachstum;P;5;P;8
P10;P15;Geburtstrauma;P;10;P;15
P20;P29;Krankheiten des Atmungs- und Herz-Kreislaufsystems, die fuer die Perinatalperiode spezifisch sind;P;20;P;29
P35;P39;Infektionen, die fuer die Perinatalperiode spezifisch sind;P;35;P;39
P50;P61;Haemorrhagische und haematologische Krankheiten beim Fetus und Neugeborenen;P;50;P;61
P70;P74;Transitorische endokrine und Stoffwechselstoerungen, die fuer den Fetus und das Neugeborene spezifisch sind;P;70;P;74
P75;P78;Krankheiten des Verdauungssystems beim Fetus und Neugeborenen;P;75;P;78
P80;P83;Krankheitszustaende mit Beteiligung der Haut und der Temperaturregulation beim Fetus und Neugeborenen;P;80;P;83
P90;P96;Sonstige Stoerungen, die ihren Ursprung in der Perinatalperiode haben;P;90;P;96
Q00;Q07;Angeborene Fehlbildungen des Nervensystems;Q;0;Q;7
Q10;Q18;Angeborene Fehlbildungen des Auges, des Ohres, des Gesichtes und des Halses;Q;10;Q;18
Q20;Q28;Angeborene Fehlbildungen des Kreislaufsystems;Q;20;Q;28
Q30;Q34;Angeborene Fehlbildungen des Atmungssystems;Q;30;Q;34
Q35;Q37;Lippen-, Kiefer- und Gaumenspalte;Q;35;Q;37
Q38;Q45;Sonstige angeborene Fehlbildungen des Verdauungssystems;Q;38;Q;45
Q50;Q56;Angeborene Fehlbildungen der Genitalorgane;Q;50;Q;56
Q60;Q64;Angeborene Fehlbildungen des Harnsystems;Q;60;Q;64
Q65;Q79;Angeborene Fehlbildungen und Deformitaeten des Muskel-Skelett-Systems;Q;65;Q;79
Q80;Q89;Sonstige angeborene Fehlbildungen;Q;80;Q;89
Q90;Q99;Chromosomenanomalien, anderenorts nicht klassifiziert;Q;90;Q;99
R00;R09;Symptome, die das Kreislaufsystem und das Atmungssystem betreffen;R;0;R;9
R10;R19;Symptome, die das Verdauungssystem und das Abdomen betreffen;R;10;R;19
R20;R23;Symptome, die die Haut und das Unterhautgewebe betreffen;R;20;R;23
R25;R29;Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen;R;25;R;29
R30;R39;Symptome, die das Harnsystem betreffen;R;30;R;39
R40;R46;Symptome, die das Erkennungs- und Wahrnehmungsverm?gen, die Stimmung und das Verhalten betreffen;R;40;R;46
R47;R49;Symptome, die die Sprache und die Stimme betreffen;R;47;R;49
R50;R69;Allgemeinsymptome;R;50;R;69
R70;R79;Abnorme Blutuntersuchungsbefunde ohne Vorliegen einer Diagnose;R;70;R;79
R80;R82;Abnorme Urinuntersuchungsbefunde ohne Vorliegen einer Diagnose;R;80;R;82
R83;R89;Abnorme Befunde ohne Vorliegen einer Diagnose bei der Untersuchung anderer Koerperfluessigkeiten, Substanzen und Gewebe;R;83;R;89
R90;R94;Abnorme Befunde ohne Vorliegen einer Diagnose bei bildgebender Diagnostik und Funktionspruefungen;R;90;R;94
R95;R99;Ungenau bezeichnete und unbekannte Todesursachen;R;95;R;99
S00;S09;Verletzungen des Kopfes;S;0;S;9
S10;S19;Verletzungen des Halses;S;10;S;19
S20;S29;Verletzungen des Thorax;S;20;S;29
S30;S39;Verletzungen des Abdomens, der Lumbosakralgegend, der Lendenwirbelsaeule und des Beckens;S;30;S;39
S40;S49;Verletzungen der Schulter und des Oberarmes;S;40;S;49
S50;S59;Verletzungen des Ellenbogens und des Unterarmes;S;50;S;59
S60;S69;Verletzungen des Handgelenkes und der Hand;S;60;S;69
S70;S79;Verletzungen der Huefte und des Oberschenkels;S;70;S;79
S80;S89;Verletzungen des Knies und des Unterschenkels;S;80;S;89
S90;S99;Verletzungen der Knoechelregion und des Fusses;S;90;S;99
T00;T07;Verletzungen mit Beteiligung mehrerer Koerperregionen;T;0;T;7
T08;T14;Verletzungen nicht naeher bezeichneter Teile des Rumpfes, der Extremitaeten oder anderer Koerperregionen;T;8;T;14
T15;T19;Folgen des Eindringens eines Fremdkoerpers durch eine natuerliche Koerperoeffnung;T;15;T;19
T20;T25;Verbrennungen oder Veraetzungen der aeusseren Koerperoberflaeche, Lokalisation bezeichnet;T;20;T;25
T26;T28;Verbrennungen oder Veraetzungen, die auf das Auge und auf innere Organe begrenzt sind;T;26;T;28
T29;T32;Verbrennungen oder Veraetzungen mehrerer und nicht naeher bezeichneter Koerperregionen;T;29;T;32
T33;T35;Erfrierungen;T;33;T;35
T36;T50;Vergiftungen durch Arzneimittel, Drogen und biologisch aktive Substanzen;T;36;T;50
T51;T65;Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen;T;51;T;65
T66;T78;Sonstige und nicht naeher bezeichnete Schaeden durch aeussere Ursachen;T;66;T;78
T79;T79;Bestimmte Fruehkomplikationen eines Traumas;T;79;T;79
T80;T88;Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert;T;80;T;88
T89;T89;Sonstige Komplikationen eines Traumas, anderenorts nicht klassifiziert;T;89;T;89
T90;T98;Folgen von Verletzungen, Vergiftungen und sonstigen Auswirkungen aeusserer Ursachen;T;90;T;98
V01;X59;Unfaelle;V;1;X;59
X60;X84;Vorsaetzliche Selbstbeschaedigung;X;60;X;84
X85;Y09;Taetlicher Angriff;X;85;Y;9
Y10;Y34;Ereignis, dessen naehere Umstaende unbestimmt sind;Y;10;Y;34
Y35;Y36;Gesetzliche Massnahmen und Kriegshandlungen;Y;35;Y;36
Y40;Y84;Komplikationen bei der medizinischen und chirurgischen Behandlung;Y;40;Y;84
Z00;Z13;Personen, die das Gesundheitswesen zur Untersuchung und Abklaerung in Anspruch nehmen;Z;0;Z;13
Z20;Z29;Personen mit potentiellen Gesundheitsrisiken hinsichtlich uebertragbarer Krankheiten;Z;20;Z;29
Z30;Z39;Personen, die das Gesundheitswesen im Zusammenhang mit Problemen der Reproduktion in Anspruch nehmen;Z;30;Z;39
Z40;Z54;Personen, die das Gesundheitswesen zum Zwecke spezifischer Massnahmen und zur medizinischen Betreuung in Anspruch nehmen;Z;40;Z;54
Z55;Z65;Personen mit potentiellen Gesundheitsrisiken aufgrund soziooekonomischer oder psychosozialer Umstaende;Z;55;Z;65
Z70;Z76;Personen, die das Gesundheitswesen aus sonstigen Gruenden in Anspruch nehmen;Z;70;Z;76
Z80;Z99;Personen mit potentiellen Gesundheitsrisiken aufgrund der Familien- oder Eigenanamnese und bestimmte Zustaende, die den Gesundheitszustand beeinflussen;Z;80;Z;99
U00;U49;Vorlaeufige Zuordnungen fuer Krankheiten mit unklarer Aetiologie und nicht belegte Schluesselnummern;U;0;U;49
U50;U52;Funktionseinschraenkung;U;50;U;52
U55;U55;Erfolgte Registrierung zur Organtransplantation;U;55;U;55
U60;U61;Stadieneinteilung der HIV-Infektion;U;60;U;61
U69;U69;Sonstige sekundaere Schluesselnummern fuer besondere Zwecke;U;69;U;69
U80;U85;Infektionserreger mit Resistenzen gegen bestimmte Antibiotika oder Chemotherapeutika;U;80;U;85
U99;U99;Nicht belegte und belegte Schluesselnummern;U;99;U;99
